Breed	Origin	Minimum Weight(Kg)	Maximum weight(Kg)	Recommended Daily Walk(klm)	Recommended Daily Play(mins)	American Kennel Club
German Pinscher	Germany	11	16	6	45	Working Group
Alaskan Malamute	United States	36	43	6	45	Working Group
American Akita	Japan/United States	32	50	6	45	Working Group
Samoyed	Russia	23	30	2	30	Working Group
Siberian Husky	Russia	25	35	6	45	Working Group
Giant Schnauzer	Germany	25	35	6	45	Working Group
Standard Schnauzer	Germany	25	35	6	45	Working Group
Portuguese Water Dog	Portugal	25	35	6	45	Working Group
Anatolian Shepherd Dog	Turkey	25	35	6	45	Working Group
Bernese Mountain Dog	Switzerland	38	50	6	45	Working Group
Black Russian Terrier	Union of Soviet Socialist Republics	36	65	6	45	Working Group
Boxer	Germany	23	36	6	45	Working Group
Bullmastiff	England	45	59	4	45	Working Group
Cane Corso	Italy	40	50	6	45	Working Group
Doberman Pinscher	Germany	30	40	6	45	Working Group
Dogue de Bordeaux	France	55	65	6	45	Working Group
English Mastiff	England	68	72	4	45	Working Group
Great Dane	Germany	45	54	6	45	Working Group
Great Pyrenees	France, Spain	38	45	4	45	Working Group
Greater Swiss Mountain Dog	Switzerland	59	61	4	45	Working Group
Komondor	Hungary	50	59	4	30	Working Group
Kuvasz	Hungary	32	52	6	45	Working Group
Leonberger	Germany	45	77	7	60	Working Group
Neapolitan Mastiff	Italy	60	75	4	30	Working Group
Newfoundland	Canada	45	68	4	30	Working Group
Rottweiler	Germany	40	60	7	60	Working Group
St. Bernard	Italy, Switzerland	64	120	4	30	Working Group
Tibetan Mastiff	China	64	78	4	30	Working Group
Australian Silky Terrier	Australia	5	7	2	10	Toy Group
Toy Fox Terrier	United States	3	6	2	10	Toy Group
Toy Manchester Terrier	England, United States	2,5	3,5	2	20	Toy Group
Affenpinscher	Germany, France	3	6	2	30	Toy Group
Cavalier King Charles Spaniel	England	3	6	2,5	30	Toy Group
Chihuahua	Mexico	3	7	2	30	Toy Group
Chinese Crested Dog	China	3	7	2	30	Toy Group
Griffon Bruxellois	Belgium	3	7	2	30	Toy Group
Havanese	Western Mediteranean Region	3	7	2	30	Toy Group
Italian Greyhound	Italy	3	7	2	45	Toy Group
Japanese Chin	Japan	3	7	2	30	Toy Group
King Charles Spaniel	England	3	7	2	30	Toy Group
Maltese	Italy	3	7	2	30	Toy Group
Miniature Pinscher	Germany	3	7	2	30	Toy Group
Papillon	Spain, Belgium, France	3	7	2	30	Toy Group
Pekingese	China	2,5	5	2	30	Toy Group
Pomeranian	Germany	2	4	2	30	Toy Group
Pug	China	6,3	8	2	30	Toy Group
Shih Tzu	China	4,5	8	2	45	Toy Group
Yorkshire Terrier	England	3	5	2	30	Toy Group
Manchester Terrier	England	4	8	2	30	Terrier Group, Toy Group
Airedale Terrier	England	5	9	2	30	Terrier Group
Australian Terrier	Australia	5	9	2	30	Terrier Group
Bedlington Terrier	United Kingdom	5	9	2	30	Terrier Group
Border Terrier	Scotland, England	6	7	4	45	Terrier Group
Bull Terrier	England	4	10	4	45	Terrier Group
Bull Terrier (Miniature)	England	11	15	4	45	Terrier Group
Cairn Terrier	Scotland	6	9	4	45	Terrier Group
Dandie Dinmont Terrier	Scotland	8	11	4	45	Terrier Group
Fox Terrier (Smooth)	England	4	8	4	45	Terrier Group
Fox Terrier, Wire	England	4	8	4	45	Terrier Group
Glen of Imaal Terrier	Ireland	15	17	4	45	Terrier Group
Irish Terrier	Ireland	4	8	4	45	Terrier Group
Kerry Blue Terrier	Ireland	15	18	4	45	Terrier Group
Lakeland Terrier	England	4	8	4	45	Terrier Group
Miniature Schnauzer	Germany	4	8	4	45	Terrier Group
Norfolk Terrier	Great Britain	4	6	4	45	Terrier Group
Norwich Terrier	United Kingdom	5	6	4	45	Terrier Group
Parson Russell Terrier	England	6	8	2	30	Terrier Group
Scottish Terrier	Scotland	9	11	2	30	Terrier Group
Sealyham Terrier	Wales	8	10	2	30	Terrier Group
Skye Terrier	Scotland	12	18	2	30	Terrier Group
Soft-Coated Wheaten Terrier	Ireland	14	20	2	30	Terrier Group
Staffordshire Bull Terrier	England	13	17	4	60	Terrier Group
Welsh Terrier	Wales	9	12	2	30	Terrier Group
West Highland White Terrier	Scotland	3	6	2	30	Terrier Group
American Staffordshire Terrier	United States	13	17	4	60	Terrier Group
American Cocker Spaniel	United States	5	9	5	60	Terrier Group
American Water Spaniel	United States	5	9	4	30	Sporting Group
Boykin Spaniel	United States	11	18	4	30	Sporting Group
Brittany	France	16	18	6	60	Sporting Group
Chesapeake Bay Retriever	United States	15	19	6	60	Sporting Group
Clumber Spaniel	England	8	10	4	45	Sporting Group
Curly Coated Retriever	England	10	13	4	45	Sporting Group
English Cocker Spaniel	England	13	15	6	60	Sporting Group
English Setter	England	25	36	6	60	Sporting Group
English Springer Spaniel	England	20	25	6	60	Sporting Group
Field Spaniel	England	18	25	6	60	Sporting Group
Flat-Coated Retriever	United Kingdom	25	36	6	60	Sporting Group
German Shorthaired Pointer	Germany	25	34	6	60	Sporting Group
German Wirehaired Pointer	Germany	25	34	6	60	Sporting Group
Golden Retriever	Scotland	27	36	6	60	Sporting Group
Gordon Setter	Scotland	25	36	6	60	Sporting Group
Irish Red and White Setter	Ireland	29	34	6	60	Sporting Group
Irish Setter	Ireland	29	34	6	60	Sporting Group
Irish Water Spaniel	Ireland	20	30	6	60	Sporting Group
Labrador Retriever	Canada, England	25	35	6	60	Sporting Group
Nova Scotia Duck-Tolling Retriever	Scottland	15	20	6	60	Sporting Group
Pointer	England	20	30	6	60	Sporting Group
Spinone Italiano	Italy	27	40	6	60	Sporting Group
Sussex Spaniel	England	18	20	6	60	Sporting Group
Vizsla	Hungary	15	18	6	60	Sporting Group
Weimaraner	Germany	20	25	6	60	Sporting Group
Welsh Springer Spaniel	Wales	12	17	5	60	Sporting Group
Wirehaired Pointing Griffon	Netherlands, France	23	27	6	60	Sporting Group
Akita Inu	Japan	34	54	6	60	Sporting Group
Poodle	Germany, France	20	32	2	20	Sporting Group
Mexican Hairless Dog	Mexico	11	18	2	30	Non-Sporting Group
American Eskimo Dog	Germany	8	16	2	20	Non-Sporting Group
Chow Chow	China	20	32	4	20	Non-Sporting Group
Finnish Spitz	Finland	14	16	4	30	Non-Sporting Group
Keeshond	Netherlands	15	30	4	30	Non-Sporting Group
Norwegian Lundehund	Norway	6	9	4	30	Non-Sporting Group
Shar Pei	China	18	25	4	30	Non-Sporting Group
Shiba Inu	Japan	8	11	4	30	Non-Sporting Group
Bichon Frisι	Spain, Belgium	3	5	2	10	Non-Sporting Group
Boston Terrier	United States	4,5	11	4	10	Non-Sporting Group
Bulldog	England	23	25	4	10	Non-sporting Group
Dalmatian	Croatia	23	25	6	30	Non-Sporting Group
French Bulldog	England, France	10	13	4	30	Non-Sporting Group
Lhasa Apso	Tibet	6	7	2	10	Non-Sporting Group
Lφwchen	Europe Generally	6	7	2	10	Non-Sporting Group
Schipperke	Belgium	6	7	2	10	Non-Sporting Group
Tibetan Spaniel	Tibet	6	7	2	10	Non-Sporting Group
Tibetan Terrier	Tibet	6	7	2	10	Non-Sporting Group
Azawakh	Mali	17	25	6	60	Miscellaneous (Hound)
Redbone Coonhound	United States	23	32	6	60	Miscellaneous (Hound)
Afghan Hound	Afghanistan	22	34	6	60	Hound Group
Basenji	Congo	10	12	4	30	Hound Group
Borzoi	Russia	27	48	6	30	Hound Group
Greyhound	Europe Generally	27	36	6	30	Hound Group
Ibizan Hound	Spain	19	25	6	60	Hound Group
Irish Wolfhound	Ireland	40	69	4	30	Hound Group
Pharaoh Hound	Malta	20	25	6	60	
Rhodesian Ridgeback	Zimbabwe	30	41	6	60	Hound Group
Saluki	Middle East	13	30	6	60	Hound Group
Scottish Deerhound	Scotland	34	50	6	60	Hound Group
Whippet	England	11	21	4	30	Hound Group
American Foxhound	United States	11	21	6	60	Hound Group
Basset Griffon Vendιen, Petit	France	14	18	4	30	Hound Group
Beagle	England	8	13	4	40	Hound Group
Black and Tan Coonhound	United States	45	64	6	60	Hound Group
Bloodhound	Belgium, France	36	50	6	60	Hound Group
Bluetick Coonhound	United States	20	36	6	60	Hound Group
Dachshund	Germany	4	6	4	30	Hound Group
English Foxhound	England	29	34	6	60	Hound Group
Harrier	England	18	27	6	60	Hound Group
Otterhound	England	30	52	6	60	Hound Group
Plott Hound	United States	45	55	6	60	Hound Group
