Name	AREA	Category	Photo	Latitude	Longitude
Pet City	Psyxiko	Pet Shop	1.jpg	38,00615	23,7837
Pet City	Glyfada	Pet Shop		37,86504	23,75504
Pet City	Kifissia	Pet Shop		38,1015	23,81321
Pet City	Marousi	Pet Shop		38,04497	23,77767
Pet City	Marousi	Pet Shop		38,04468	23,81009
Pet City	Vrilissia	Pet Shop		38,05312	23,81438
Pet City	Xaidari	Pet Shop		38,0053	23,66428
Pet City	Vari	Pet Shop		37,82869	23,80334
Pet City	Xalandri	Pet Shop		38,01772	23,80165
Pet City	Xalandri	Pet Shop		38,02866	23,81379
Pet City	Nea Smyrni	Pet Shop		37,95095	23,69344
Pet City	Argyroupoli	Pet Shop		37,90596	23,75375
Pet City	Ilioupoli	Pet Shop		38,09042	23,82012
Pet City	Paiania	Pet Shop		37,95533	23,85223
Pet City	Gerakas	Pet Shop		38,01175	23,85484
Pet City	Nea Iwnia	Pet Shop		38,04261	23,75363
Pet City	Ilion	Pet Shop		38,03148	23,71141
Pet City	Anw Patisia	Pet Shop		38,02209	23,73874
Pet City	Peireas	Pet Shop		37,97762	23,66354
Pet City	Peiraias	Pet Shop		37,96252	23,59825
Pet City	Agia Paraskevi	Pet Shop		38,01242	23,81644
Pet City	Xolargos	Pet Shop		38,00265	23,7986
Pet City	Hrakleio	Pet Shop		38,05361	23,76829
Pet City	Petroupoli	Pet Shop		38,03596	23,69421
Pet City	Peristeri	Pet Shop		38,02385	23,69486
Pet City	Markopoulo	Pet Shop		37,88758	23,94238
Pet City	Loutsa	Pet Shop		37,93743	24,00187
Pet City	Pefki	Pet Shop		38,06252	23,79466
Pet City	Anw Glyfada	Pet Shop		37,88948	23,76112
Pet City	Kifissia	Pet Shop		38,07678	23,8147
Pet City	Koropi	Pet Shop		37,8259	23,80398
Pet City	Alimos	Pet Shop		37,90739	23,71659
Pet City	Porto Rafti	Pet Shop		37,88645	23,93897
PuppiesPark	Marousi	Pet Socialize Training		38,04447	23,82394
Zoobazaar	Athens	Pet Shop		37,96025	23,73158
Zoofilos petshop	Athens	Pet Shop		37,98321	23,73763
Pet Stories	Athens	Pet Shop		37,99474	23,7253
Pet Shop Farma	Athens	Pet Shop		38,00648	23,73068
Pet Shop Iwanna's	Athens	Pet Shop		38,00059	23,73342
The Pet Shop	Athens	Pet Shop		37,93717	23,75046
Petland	Athens	Pet Shop		37,99743	23,73657
Petnet	Athens	Pet Shop		37,97978	23,74657
puupy Love	Athens	Pet Shop		37,98372	23,72931
Fellow Pet	Athens	Pet Shop		37,9791	23,74216
Leo's Corner	Athens	Pet Shop		37,957	23,73428
Amazon	Athens	Pet Shop		37,99156	23,74856
Pets &Friends	Athens	Pet Shop		37,94068	23,71324
Pets &Friends	Athens	Pet Shop		37,95507	23,71689
Ktiniatriki Agora	Agia Paraskevi	Pet Shop		38,00078	23,78711
Cats Dogs	Agia Paraskevi	Pet Shop		38,00484	23,82249
Argyriou	Agia Paraskevi	Pet Shop		38,00573	23,82841
Pet Bazar	Agia Paraskevi	Pet Shop		38,01053	23,83402
Pet Life	Agia Paraskevi	Pet Shop		37,98634	23,85083
Courcell	Agia Paraskevi	Pet Shop		37,96655	23,8512
First Pet Shop	Agia Paraskevi	Pet Shop		38,0188	23,82418
Stefanitsis	Agia Paraskevi	Pet Shop		38,00816	23,81346
Happy Feet	Agia Paraskevi	Pet Shop		38,00864	23,82638
Cats N Dogs	Agia Paraskevi	Pet Shop		38,03662	23,79894
Lubi Animal Center	Xalandri	Pet Shop		38,000965	23,78933
Zoofilia	Xalandri	Pet Shop		38,01695	23,79466
Mavridou	Xalandri	Pet Shop		38,02856	23,79557
Sonia's	Xalandri	Pet Shop		38,03113	23,81863
Marko	Xalandri	Pet Shop		38,02133	23,79863
Moutzouris	Xalandri	Pet Shop		38,01291	23,7965
Amazonios	Xalandri	Pet Shop		38,02213	23,79835
Bourantzis	Xalandri	Pet Shop		38,01263	23,79897
Koletis	Xalandri	Pet Shop		38,025	23,80841
Valana's	Xalandri	Pet Shop		38,02985	23,81787
Puppy Land	Psyxiko	Pet Shop		38,0058	23,76576
Pets.Gr	Neo Psyxiko	Pet Shop		38,00059	23,77728
Bark Avenue	Neo Psyxiko	Pet Shop		38,01179	23,7818
Lydia	Neo Psyxiko	Pet Shop		38,00769	23,78051
Pet Love	Neo Psyxiko	Pet Shop		38,00603	23,77718
Zougla	Xolargos	Pet Shop		38,00017	23,79277
Pet Net	Xolargos	Pet Shop		38,00565	23,79589
Promopet	Kifissia	Pet Shop		38,08085	23,81456
Gigas	Kifissia	Pet Shop		38,0664	23,81795
ChinChinHaus	Kifissia	Pet Shop		38,0877	23,79165
Athens Dog Training Club	Kifissia	Pet Shop		38,06873	23,81385
The Pet Shop	Kifissia	Pet Shop		38,0659	23,80528
Figaro	Kifissia	Pet Shop		38,09318	23,7954
Plouto	Kifissia	Pet Shop		38,07148	23,81184
Douvos	Kifissia	Pet Shop		38,1015	23,81321
Dog Spa	Kifissia	Pet Shop		38,07591	23,80762
Tropic Island	Kalithea	Pet Shop		37,95602	23,70068
Pet Center	Kalithea	Pet Shop		37,95418	23,70289
Filozoos	Kalithea	Pet Shop		38,04203	23,69536
Bon Apetit	Kalithea	Pet Shop		37,94439	23,69261
Kokalono Pet Art	Kalithea	Pet Shop		37,95947	23,70307
A Pet Iseis	Kalithea	Pet Shop		37,95566	23,69876
Pet Park	Kalithea	Pet Shop		37,95718	23,70664
Pet Center	Kalithea	Pet Shop		37,95848	23,71209
Folia Ton Zoon	Kalithea	Pet Shop		37,9574	23,70897
Akouna Matata	Kalithea	Pet Shop		37,94969	23,70428
Jinx's 	Kalithea	Pet Shop		37,94747	23,69421
Spiliotis	Ilion	Pet Shop		38,03538	23,69476
Kartsonaki	Ilion	Pet Shop		38,03072	23,71646
Amazonio	Ilion	Pet Shop		38,01866	23,70865
o Kosmos Ton Poulion Kai Ton Zoon	Ilion	Pet Shop		38,03369	23,70962
Voula	Ilion	Pet Shop		38,02475	23,71085
Karalis	Ilion	Pet Shop		38,04499	23,72432
Magic 	Ilion	Pet Shop		38,03938	23,6987
Pet Boom	Ilion	Pet Shop		38,03391	23,69591
Pet World	Ilion	Pet Shop		38,02606	23,69677
To Skiouraki	Ilion	Pet Shop		38,04291	23,70155
Tom & Jerry	Ilion	Pet Shop		38,04414	23,70921
Spiliotis	Ilion	Pet Shop		38,03199	23,70898
Dellis	Peristeri	Pet Shop		38,03025	23,68539
Skylakia.GR	Peristeri	Pet Shop		38,02921	23,68361
Waterland	Peristeri	Pet Shop		38,01427	23,96266
Apostolopoulos	Peristeri	Pet Shop		38,0083	23,69517
Digenopoulos	Peristeri	Pet Shop		38,02436	23,67899
Macao	Peristeri	Pet Shop		38,01047	23,70017
Zoofilia	Peristeri	Pet Shop		38,01098	23,69168
Amarylis	Peristeri	Pet Shop		38,01607	23,37827
Frantzis	Peristeri	Pet Shop		38,01128	23,6522
Dareli	Peristeri	Pet Shop		38,00412	23,69252
Kivotos	Peristeri	Pet Shop		38,0196	23,68041
Zookipos	Peristeri	Pet Shop		38,01415	23,67447
Dogs 4 Living	Peristeri	Pet Shop		38,02671	23,68849
My Pet	Ilioupoli	Pet Shop		37,94425	23,74808
Mikros Amazonios	Ilioupoli	Pet Shop		37,92956	23,74973
The Zoo's Station	Ilioupoli	Pet Shop		37,92862	23,76045
Pet Corner	Ilioupoli	Pet Shop		37,94649	23,75812
Teacher's Pet	Ilioupoli	Pet Shop		37,93958	23,7561
Sun Shield	Ilioupoli	Pet Shop		37,93774	23,74263
For Pets	Ilioupoli	Pet Shop		37,93967	23,75919
Koutsomanolis	Ilioupoli	Pet Shop		37,93086	23,75692
Kourtis	Ilioupoli	Pet Shop		37,9367	23,75803
Franko Sofia	ilioupoli	Pet Shop		37,92258	23,7507
Zoomania	Glyfada	Pet Shop		37,86639	23,76778
Zouzounia	Glyfada	Pet Shop		37,86949	23,76585
Manos	Glyfada	Pet Shop		37,86084	23,7537
Bubble Bath	Glyfada	Pet Shop		37,88347	23,76493
Happy Pet	Glyfada	Pet Shop		37,87101	23,76462
PPFI	Glyfada	Pet Shop		37,86717	23,74476
Dogs & Cats	Glyfada	Pet Shop		37,85973	23,76168
Supet	Glyfada	Pet Shop		37,88299	23,76283
Tsakas	Glyfada	Pet Shop		37,89342	23,77028
